UID,other_commodities
narra-citinickel-mine-in-palawan-philippines,chromite
the-fast-breeder-reacton-monju-japan,Plutonium
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Textiles
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,heavy metals (Chromium
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Coper
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Arsenic
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Lead
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Cobalt)
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Emerald And Other Gems.
untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china,paper
sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies,Pearl
exploratory-fracking-in-balcombe-uk,Shale Gas
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,nickel
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Coque de petróleo
ruchi-agri-soybean-operation-in-gambela-ethiopia,Processing Facilities
marinalva-manoel-murdered-brazil,Cattle
conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion,Aceite de Copaibo/ Copaibo Oil
gowanus-canal,Transportation
gowanus-canal,Municipal Sewage 
military-waste-destruction-niksic-montenegro,Military waste
bajo-la-alumbrera-mine-argentina,"Molybdenum
Manganese"
karawang-airport-on-north-coast-of-java-indonesia,Coast land; transportation services
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Municipal Waste
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Garbage Collected From Residential Surbubs And Hospitals
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Avocado
airport-arial-beel,wetland
ocupa-maua-urban-squatting-sao-paulo-brazil,Housing
outokumpu-mine-finland6,Nickel
outokumpu-mine-finland6,Cobalt and Sulfur
wastewater-treatment-collector-in-botun-montenegro,Waste water
quebrada-blanca-tarapaca-chile,Molybdenum
platinum-mining-in-eastern-shan-state-myanmar,Platinum
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,phosphates
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,acide phosphorique 
save-polesia-stop-construction-of-e40-waterway,Transportation
preservation-of-livelihood-of-sarikecili-nomads-turkey,Pasture Land
entre-lo-sostenible-y-el-rechazo-el-cultivo-de-concha-abanico-argopecten-purpiratus-en-el-litoral-costero-del-peru,Scallop
bgmea-building-illegal-bangladesh,Urban infrastructure
dust-pollution-from-long-thanh-airport-construction-vietnam,soil
nuclear-waste-disposal-at-trgovska-gora-croatia,Nuclear waste
nuclear-waste-disposal-at-trgovska-gora-croatia,medical and industrial radioactive waste
titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,Zirconium
titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,rutile
titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,ilmenite
high-mercury-level-in-cosmetics,Skin whitening creams
revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,Locals' spiritual and religious rights
makah-native-american-tribe,Gray whales (Eschrichtius robustus)
nuclear-waste-dump-poland,Nuclear waste
pitinga-mine-amazonas-brazil,"Cassiterite 
Tin "
socially-equitable-urban-transportation-pune-india,Transportation services
innovative-waste-utilization-iwu,Drug lab waste- methamphetamine
uprooted-land-in-the-occupied-palestinian-territories,Olives
uprooted-land-in-the-occupied-palestinian-territories,Trees
warraq-island-evictions-egypt,Housing
us-steels-clairton-coke-works,Coke
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,Potasium
potasas-del-llobregat-catalonia,Potash
planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,Lodos residuales para uso agrícola
wastepickers-in-tunis-struggle-forth-in-post-revolution-tunisia,Plastic
wastepickers-in-tunis-struggle-forth-in-post-revolution-tunisia,Glass
operation-nemesis-on-illegal-slaughters-southern-indian-ocean-antarctica, whale
grasim-industries-viscose-plant-india,viscose
grasim-industries-viscose-plant-india,wood pulp
fenix-el-estor-guatemala,Nickel
fenix-el-estor-guatemala,Ferronickel
guatemala-mass-mobilisations-win-in-defeating-the-monsanto-law-pushed-by-us,Seeds
rosia-montana-romania,Silver
construccion-tunel-de-la-linea-colombia,Infraestructura
hydrocarbon-extraction-a-threat-to-livelihood-in-neduvasal-pudukkottai-district-cauvery-delta,Project affluents
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,Tomatoes
the-city-of-sirjan-between-water-conflict-for-dried-pistachio-trees-and-golgohar-iron-mine-iran,Pistachio
yucca-mountain-nuclear-waste-storage-usa,Nuclear waste
waste-nuevomercurio-zacatecas-mexico,Mercury. Bifenilos policlorados (BPC) -  polychlorinated biphenyl (PCB)
wu-yug-sochen-namling-dzong-tibet,Details about mining operations in the region are scarce[1]
wu-yug-sochen-namling-dzong-tibet,but probably there are gold and copper mines [4]
bosques-de-bahia-solano-colombia,Explotacion De Bosque Nativo Que Incluye Especies Endemicas Del Choco: Algarrobo
bosques-de-bahia-solano-colombia,Sande
