UID,health_impact,name
ashio-copper-mine-japan,,Deaths
ashio-copper-mine-japan,,Malnutrition
ashio-copper-mine-japan,,Infectious diseases
idaho-maryland-gold-mine-in-grass-valley-california-usa,,Accidents
idaho-maryland-gold-mine-in-grass-valley-california-usa,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
idaho-maryland-gold-mine-in-grass-valley-california-usa,,"Mental problems including stress, depression and suicide"
dust-pollution-from-long-thanh-airport-construction-vietnam,,"Mental problems including stress, depression and suicide"
dust-pollution-from-long-thanh-airport-construction-vietnam,,Accidents
dust-pollution-from-long-thanh-airport-construction-vietnam,,Occupational disease and accidents
dust-pollution-from-long-thanh-airport-construction-vietnam,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dust-pollution-from-long-thanh-airport-construction-vietnam,,Other Health impacts
carbon-black-emission-from-warri-refinery-nigeria,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
carbon-black-emission-from-warri-refinery-nigeria,,"Mental problems including stress, depression and suicide"
carbon-black-emission-from-warri-refinery-nigeria,,Occupational disease and accidents
carbon-black-emission-from-warri-refinery-nigeria,,Infectious diseases
carbon-black-emission-from-warri-refinery-nigeria,,Deaths
carbon-black-emission-from-warri-refinery-nigeria,,Other environmental related diseases
ancasti-se-moviliza-contra-la-mineria-de-litio,,Accidents
ancasti-se-moviliza-contra-la-mineria-de-litio,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
ancasti-se-moviliza-contra-la-mineria-de-litio,,"Mental problems including stress, depression and suicide"
ancasti-se-moviliza-contra-la-mineria-de-litio,,"Violence related health impacts (homicides, rape, etc..) "
ancasti-se-moviliza-contra-la-mineria-de-litio,,"Health problems related to alcoholism, prostitution"
ancasti-se-moviliza-contra-la-mineria-de-litio,,Occupational disease and accidents
ancasti-se-moviliza-contra-la-mineria-de-litio,,Deaths
proyecto-hidroelectrico-bonyic-panama,,"Mental problems including stress, depression and suicide"
tumring-rubber-concession-kampong-thom-province-cambodia,,"Mental problems including stress, depression and suicide"
tumring-rubber-concession-kampong-thom-province-cambodia,,"Violence related health impacts (homicides, rape, etc..) "
tumring-rubber-concession-kampong-thom-province-cambodia,,Malnutrition
tumring-rubber-concession-kampong-thom-province-cambodia,,"Health problems related to alcoholism, prostitution"
nuclear-waste-disposal-at-trgovska-gora-croatia,,Accidents
nuclear-waste-disposal-at-trgovska-gora-croatia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
takalar-fisherfolk-against-sea-sand-mining,,Malnutrition
hevea-plantation-in-kribi,,Occupational disease and accidents
roma-community-living-on-a-formal-industrial-site-contaminated-with-mercury,,Accidents
roma-community-living-on-a-formal-industrial-site-contaminated-with-mercury,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
roma-community-living-on-a-formal-industrial-site-contaminated-with-mercury,,Occupational disease and accidents
roma-community-living-on-a-formal-industrial-site-contaminated-with-mercury,,Other environmental related diseases
titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,,Other Health impacts
anti-nuclear-movement-and-closure-of-nuclear-test-site-semipalatinsk-kazakhstan,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
anti-nuclear-movement-and-closure-of-nuclear-test-site-semipalatinsk-kazakhstan,,Occupational disease and accidents
anti-nuclear-movement-and-closure-of-nuclear-test-site-semipalatinsk-kazakhstan,,Other environmental related diseases
high-mercury-level-in-cosmetics,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
high-mercury-level-in-cosmetics,,"Mental problems including stress, depression and suicide"
high-mercury-level-in-cosmetics,,Other Health impacts
uruguay-no-mineria-de-hierro,,"Health problems related to alcoholism, prostitution"
sedano-fracking-project-bnk-petroleum-burgos,,Accidents
sedano-fracking-project-bnk-petroleum-burgos,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
sedano-fracking-project-bnk-petroleum-burgos,,"Mental problems including stress, depression and suicide"
sedano-fracking-project-bnk-petroleum-burgos,,"Violence related health impacts (homicides, rape, etc..) "
sedano-fracking-project-bnk-petroleum-burgos,,"Health problems related to alcoholism, prostitution"
sedano-fracking-project-bnk-petroleum-burgos,,Occupational disease and accidents
sedano-fracking-project-bnk-petroleum-burgos,,Deaths
sedano-fracking-project-bnk-petroleum-burgos,,Other environmental related diseases
sedano-fracking-project-bnk-petroleum-burgos,,Other Health impacts
rerouting-of-toplodolska-river-serbia,,"Mental problems including stress, depression and suicide"
kpl-conflict-karnataka-india,,Malnutrition
revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,,Other environmental related diseases
tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,,Occupational disease and accidents
tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,,Infectious diseases
lynas-refinery-in-kuantan,,Occupational disease and accidents
lynas-refinery-in-kuantan,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
lynas-refinery-in-kuantan,,Other environmental related diseases
lynas-refinery-in-kuantan,,Other Health impacts
lynas-refinery-in-kuantan,,Accidents
lynas-refinery-in-kuantan,,Deaths
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,,Malnutrition
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,,"Violence related health impacts (homicides, rape, etc..) "
cargill-agricola-port-for-soy-export-brazil,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
cargill-agricola-port-for-soy-export-brazil,,"Mental problems including stress, depression and suicide"
munduruku-indigenous-resistance-against-illegal-gold-mining,,Malnutrition
munduruku-indigenous-resistance-against-illegal-gold-mining,,"Mental problems including stress, depression and suicide"
munduruku-indigenous-resistance-against-illegal-gold-mining,,"Violence related health impacts (homicides, rape, etc..) "
munduruku-indigenous-resistance-against-illegal-gold-mining,,"Health problems related to alcoholism, prostitution"
munduruku-indigenous-resistance-against-illegal-gold-mining,,Infectious diseases
munduruku-indigenous-resistance-against-illegal-gold-mining,,Accidents
munduruku-indigenous-resistance-against-illegal-gold-mining,,Occupational disease and accidents
makah-native-american-tribe,,"Mental problems including stress, depression and suicide"
makah-native-american-tribe,,Malnutrition
nuclear-waste-dump-poland,,Accidents
nuclear-waste-dump-poland,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
nuclear-waste-dump-poland,,Other Health impacts
mainland-mine-analanjirofo-madagascar,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mainland-mine-analanjirofo-madagascar,,"Mental problems including stress, depression and suicide"
pitinga-mine-amazonas-brazil,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
pitinga-mine-amazonas-brazil,,Occupational disease and accidents
pitinga-mine-amazonas-brazil,,Infectious diseases
pitinga-mine-amazonas-brazil,,Deaths
pitinga-mine-amazonas-brazil,,"Health problems related to alcoholism, prostitution"
pitinga-mine-amazonas-brazil,,Accidents
nuclear-power-station-in-tihange-belgium,,Accidents
nuclear-power-station-in-tihange-belgium,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
nuclear-power-station-in-tihange-belgium,,"Mental problems including stress, depression and suicide"
nuclear-power-station-in-tihange-belgium,,Occupational disease and accidents
nuclear-power-station-in-tihange-belgium,,Deaths
nuclear-power-station-in-tihange-belgium,,Other environmental related diseases
dandora-landfill-in-nairobi-kenya,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dandora-landfill-in-nairobi-kenya,,Malnutrition
dandora-landfill-in-nairobi-kenya,,"Violence related health impacts (homicides, rape, etc..) "
dandora-landfill-in-nairobi-kenya,,Occupational disease and accidents
dandora-landfill-in-nairobi-kenya,,Infectious diseases
dandora-landfill-in-nairobi-kenya,,Deaths
dandora-landfill-in-nairobi-kenya,,Other environmental related diseases
dandora-landfill-in-nairobi-kenya,,"Mental problems including stress, depression and suicide"
dandora-landfill-in-nairobi-kenya,,"Health problems related to alcoholism, prostitution"
dandora-landfill-in-nairobi-kenya,,Other Health impacts
las-invasiones-a-las-zonas-comunales-y-conservacion-ambiental-de-milpa-alta,,"Mental problems including stress, depression and suicide"
svydovets-ski-resort,,Other Health impacts
socially-equitable-urban-transportation-pune-india,,Accidents
socially-equitable-urban-transportation-pune-india,,"Mental problems including stress, depression and suicide"
socially-equitable-urban-transportation-pune-india,,Occupational disease and accidents
socially-equitable-urban-transportation-pune-india,,Deaths
devan,,Accidents
comunidad-de-huachon-against-statkraft,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
indramayu-coal-power-plant-west-java-indonesia,,Other environmental related diseases
kaiga-atomic-power-station-karnataka-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
kaiga-atomic-power-station-karnataka-india,,Other environmental related diseases
pollution-of-ergene-river-and-basin-turkey,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
pollution-of-ergene-river-and-basin-turkey,,Infectious diseases
pollution-of-ergene-river-and-basin-turkey,,Deaths
pollution-of-ergene-river-and-basin-turkey,,Other environmental related diseases
innovative-waste-utilization-iwu,,Deaths
innovative-waste-utilization-iwu,,Other environmental related diseases
communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,,Malnutrition
communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,,"Mental problems including stress, depression and suicide"
communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,,"Violence related health impacts (homicides, rape, etc..) "
communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,,"Health problems related to alcoholism, prostitution"
communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,,Other environmental related diseases
carbon-offset-project-creates-pressure-on-indigenous-communities-in-parana-brazil,,"Mental problems including stress, depression and suicide"
carbon-offset-project-creates-pressure-on-indigenous-communities-in-parana-brazil,,Malnutrition
carbon-offset-project-creates-pressure-on-indigenous-communities-in-parana-brazil,,"Health problems related to alcoholism, prostitution"
carbon-offset-project-creates-pressure-on-indigenous-communities-in-parana-brazil,,Infectious diseases
uprooted-land-in-the-occupied-palestinian-territories,,"Mental problems including stress, depression and suicide"
uprooted-land-in-the-occupied-palestinian-territories,,Malnutrition
uprooted-land-in-the-occupied-palestinian-territories,,"Violence related health impacts (homicides, rape, etc..) "
warraq-island-evictions-egypt,,"Violence related health impacts (homicides, rape, etc..) "
warraq-island-evictions-egypt,,Deaths
warraq-island-evictions-egypt,,Other Health impacts
us-steels-clairton-coke-works,,Accidents
us-steels-clairton-coke-works,,"Mental problems including stress, depression and suicide"
us-steels-clairton-coke-works,,Occupational disease and accidents
us-steels-clairton-coke-works,,Deaths
us-steels-clairton-coke-works,,Other environmental related diseases
us-steels-clairton-coke-works,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
us-steels-clairton-coke-works,,"Health problems related to alcoholism, prostitution"
us-steels-clairton-coke-works,,Other Health impacts
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,"Violence related health impacts (homicides, rape, etc..) "
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,"Health problems related to alcoholism, prostitution"
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,Occupational disease and accidents
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,Infectious diseases
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,Deaths
oposicion-a-la-extraccion-de-litio-y-uranio-en-los-proyectos-falchani-y-macusani-en-puno,,Other Health impacts
hydroelectric-plants-on-puelo-river-by-endesa-and-mediterraneo-chile-argentina,,"Mental problems including stress, depression and suicide"
hydroelectric-plants-on-puelo-river-by-endesa-and-mediterraneo-chile-argentina,,Other environmental related diseases
hydro-power-plant-buk-bjelas-impact-on-the-tara-river-canyon-montenegro,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
hydro-power-plant-buk-bjelas-impact-on-the-tara-river-canyon-montenegro,,Other environmental related diseases
roma-krompachy-kosice,,Accidents
roma-krompachy-kosice,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
lead-poisoning-by-yiyang-xingwang-industries-shangrao-jiangxi-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
lead-poisoning-by-yiyang-xingwang-industries-shangrao-jiangxi-china,,Other Health impacts
lead-poisoning-by-yiyang-xingwang-industries-shangrao-jiangxi-china,,"Mental problems including stress, depression and suicide"
potasas-del-llobregat-catalonia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,,Accidents
planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,,Infectious diseases
planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,,Occupational disease and accidents
pancheswar-dam-uttarakhand-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
minera-origen-group,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
wastepickers-in-tunis-struggle-forth-in-post-revolution-tunisia,,Accidents
wastepickers-in-tunis-struggle-forth-in-post-revolution-tunisia,,Occupational disease and accidents
wastepickers-in-tunis-struggle-forth-in-post-revolution-tunisia,,Infectious diseases
1-soy-monocultures-and-land-conflicts-in-guarima,,"Mental problems including stress, depression and suicide"
1-soy-monocultures-and-land-conflicts-in-guarima,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
1-soy-monocultures-and-land-conflicts-in-guarima,,Infectious diseases
1-soy-monocultures-and-land-conflicts-in-guarima,,Other Health impacts
1-soy-monocultures-and-land-conflicts-in-guarima,,Deaths
1-soy-monocultures-and-land-conflicts-in-guarima,,Malnutrition
grasim-industries-viscose-plant-india,,Occupational disease and accidents
grasim-industries-viscose-plant-india,,Accidents
grasim-industries-viscose-plant-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
grasim-industries-viscose-plant-india,,Other environmental related diseases
fracking-araba-enara-spain,,Accidents
fracking-araba-enara-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
fracking-araba-enara-spain,,Occupational disease and accidents
fracking-araba-enara-spain,,Other environmental related diseases
virunga-national-park-drilling-project,,Accidents
virunga-national-park-drilling-project,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
virunga-national-park-drilling-project,,Malnutrition
virunga-national-park-drilling-project,,"Violence related health impacts (homicides, rape, etc..) "
virunga-national-park-drilling-project,,"Health problems related to alcoholism, prostitution"
virunga-national-park-drilling-project,,Deaths
mencherep-residents-succesfully-resisting-a-new-open-coal-pit-threatening-their-village,,Malnutrition
mencherep-residents-succesfully-resisting-a-new-open-coal-pit-threatening-their-village,,Occupational disease and accidents
kodungiayur-garbage-dump-site-chennai-india,,Infectious diseases
kodungiayur-garbage-dump-site-chennai-india,,Other environmental related diseases
kodungiayur-garbage-dump-site-chennai-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
fenix-el-estor-guatemala,,Deaths
fenix-el-estor-guatemala,,"Violence related health impacts (homicides, rape, etc..) "
fenix-el-estor-guatemala,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
fenix-el-estor-guatemala,,"Mental problems including stress, depression and suicide"
guatemala-mass-mobilisations-win-in-defeating-the-monsanto-law-pushed-by-us,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
guatemala-mass-mobilisations-win-in-defeating-the-monsanto-law-pushed-by-us,,Malnutrition
guatemala-mass-mobilisations-win-in-defeating-the-monsanto-law-pushed-by-us,,Other environmental related diseases
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,,"Violence related health impacts (homicides, rape, etc..) "
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,,"Health problems related to alcoholism, prostitution"
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,,Infectious diseases
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,,Deaths
construccion-tunel-de-la-linea-colombia,,Infectious diseases
construccion-tunel-de-la-linea-colombia,,Accidents
construccion-tunel-de-la-linea-colombia,,Occupational disease and accidents
bhavanapadu-east-coast-energy-private-limited-ecepl-thermal-power-plant-ap-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
bhavanapadu-east-coast-energy-private-limited-ecepl-thermal-power-plant-ap-india,,Other Health impacts
impact-of-the-wall-surrounding-the-city-of-qalqilya-affecting-orchards,,Other environmental related diseases
impact-of-the-wall-surrounding-the-city-of-qalqilya-affecting-orchards,,Malnutrition
impact-of-the-wall-surrounding-the-city-of-qalqilya-affecting-orchards,,"Mental problems including stress, depression and suicide"
lefa-gold-mine,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
minera-las-cruces-sevilla-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
unrestricted-charcoal-production-in-puntland-somalia,,"Violence related health impacts (homicides, rape, etc..) "
mina-dolores-mexico,,Malnutrition
mina-dolores-mexico,,"Health problems related to alcoholism, prostitution"
mina-dolores-mexico,,"Violence related health impacts (homicides, rape, etc..) "
mina-dolores-mexico,,"Mental problems including stress, depression and suicide"
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,,Occupational disease and accidents
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,,Other Health impacts
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,,Malnutrition
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,,"Mental problems including stress, depression and suicide"
pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,,Deaths
rubber-plantation,,Accidents
rubber-plantation,,Occupational disease and accidents
rubber-plantation,,Other environmental related diseases
rubber-plantation,,Other Health impacts
savannahs-lithium-extraction-conflict-in-barroso-portugal,,Occupational disease and accidents
savannahs-lithium-extraction-conflict-in-barroso-portugal,,"Mental problems including stress, depression and suicide"
savannahs-lithium-extraction-conflict-in-barroso-portugal,,Accidents
mkuju-river-uranium-mine-tanzania,,Accidents
mkuju-river-uranium-mine-tanzania,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mkuju-river-uranium-mine-tanzania,,Occupational disease and accidents
mkuju-river-uranium-mine-tanzania,,Other environmental related diseases
the-city-of-sirjan-between-water-conflict-for-dried-pistachio-trees-and-golgohar-iron-mine-iran,,Malnutrition
noyyal-river-basin-a-pollution-cocktail,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dano-ambiental-en-sierra-minera-y-bahia-de-portman-smm-penarroya-espana-region-de-murcia-espana,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dano-ambiental-en-sierra-minera-y-bahia-de-portman-smm-penarroya-espana-region-de-murcia-espana,,Other environmental related diseases
dano-ambiental-en-sierra-minera-y-bahia-de-portman-smm-penarroya-espana-region-de-murcia-espana,,Other Health impacts
desviacion-rio-rancheria-la-guajira-colombia,,Malnutrition
desviacion-rio-rancheria-la-guajira-colombia,,"Mental problems including stress, depression and suicide"
desviacion-rio-rancheria-la-guajira-colombia,,"Health problems related to alcoholism, prostitution"
desviacion-rio-rancheria-la-guajira-colombia,,Occupational disease and accidents
desviacion-rio-rancheria-la-guajira-colombia,,Deaths
desviacion-rio-rancheria-la-guajira-colombia,,Other environmental related diseases
yucca-mountain-nuclear-waste-storage-usa,,Occupational disease and accidents
yucca-mountain-nuclear-waste-storage-usa,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
monocultivo-de-palma-de-aceite-en-meta-colombia,,Accidents
monocultivo-de-palma-de-aceite-en-meta-colombia,,"Health problems related to alcoholism, prostitution"
monocultivo-de-palma-de-aceite-en-meta-colombia,,Occupational disease and accidents
monocultivo-de-palma-de-aceite-en-meta-colombia,,Other environmental related diseases
monocultivo-de-palma-de-aceite-en-meta-colombia,,Other Health impacts
monocultivo-de-palma-de-aceite-en-meta-colombia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
waste-nuevomercurio-zacatecas-mexico,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
waste-nuevomercurio-zacatecas-mexico,,Other Health impacts
el-morro-chile,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
wu-yug-sochen-namling-dzong-tibet,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
wu-yug-sochen-namling-dzong-tibet,,Malnutrition
bosques-de-bahia-solano-colombia,,"Violence related health impacts (homicides, rape, etc..) "
bosques-de-bahia-solano-colombia,,"Health problems related to alcoholism, prostitution"
relleno-sanitario-parque-industrial-santodomingo-colombia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
relleno-sanitario-parque-industrial-santodomingo-colombia,,Occupational disease and accidents
relleno-sanitario-parque-industrial-santodomingo-colombia,,Other environmental related diseases
relleno-sanitario-parque-industrial-santodomingo-colombia,,Other Health impacts
sundarban-tiger-reserve,,Malnutrition
sundarban-tiger-reserve,,"Health problems related to alcoholism, prostitution"
rhino-poaching-in-the-balule-nature-reserve-in-south-africas-greater-kruger-national-park,,"Violence related health impacts (homicides, rape, etc..) "
rhino-poaching-in-the-balule-nature-reserve-in-south-africas-greater-kruger-national-park,,"Health problems related to alcoholism, prostitution"
shell-chevron-canalization-devastes-tsekelewu-community,,Malnutrition
shell-chevron-canalization-devastes-tsekelewu-community,,Infectious diseases
militerization-of-yemen-ngl-gas-liquefacation-site,,Accidents
militerization-of-yemen-ngl-gas-liquefacation-site,,"Mental problems including stress, depression and suicide"
militerization-of-yemen-ngl-gas-liquefacation-site,,"Violence related health impacts (homicides, rape, etc..) "
militerization-of-yemen-ngl-gas-liquefacation-site,,Deaths
militerization-of-yemen-ngl-gas-liquefacation-site,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
militerization-of-yemen-ngl-gas-liquefacation-site,,Malnutrition
militerization-of-yemen-ngl-gas-liquefacation-site,,"Health problems related to alcoholism, prostitution"
militerization-of-yemen-ngl-gas-liquefacation-site,,Infectious diseases
iter-reactor-france,,Accidents
iter-reactor-france,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
iter-reactor-france,,Deaths
dominga,,Accidents
dominga,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
dominga,,"Mental problems including stress, depression and suicide"
dominga,,"Violence related health impacts (homicides, rape, etc..) "
dominga,,"Health problems related to alcoholism, prostitution"
dominga,,Occupational disease and accidents
dominga,,Other environmental related diseases
dominga,,Other Health impacts
multiple-gas-explosion-in-egiland-nigeria,,Accidents
multiple-gas-explosion-in-egiland-nigeria,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
multiple-gas-explosion-in-egiland-nigeria,,Malnutrition
multiple-gas-explosion-in-egiland-nigeria,,"Mental problems including stress, depression and suicide"
multiple-gas-explosion-in-egiland-nigeria,,Infectious diseases
multiple-gas-explosion-in-egiland-nigeria,,Deaths
multiple-gas-explosion-in-egiland-nigeria,,Other environmental related diseases
sierras-de-tandil,,Accidents
vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,,Accidents
vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,,"Violence related health impacts (homicides, rape, etc..) "
vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,,Deaths
vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,,Other Health impacts
toxic-waste-incinerator-in-east-liverpool-ohio-united-states,,Other environmental related diseases
toxic-waste-incinerator-in-east-liverpool-ohio-united-states,,Occupational disease and accidents
toxic-waste-incinerator-in-east-liverpool-ohio-united-states,,Deaths
usina-trapiche-sirinhaem-pernambuco-brazil,,Occupational disease and accidents
usina-trapiche-sirinhaem-pernambuco-brazil,,Deaths
usina-trapiche-sirinhaem-pernambuco-brazil,,Other environmental related diseases
swanson-occupation-canada,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
anglo-platinum-mogalakwena-mine-tailings-dam-in-limpopo-south-africa,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
lago-lleu-lleu-chile,,"Mental problems including stress, depression and suicide"
proposed-national-radioactive-waste-management-facility-south-australia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
proposed-national-radioactive-waste-management-facility-south-australia,,Other Health impacts
proposed-national-radioactive-waste-management-facility-south-australia,,"Mental problems including stress, depression and suicide"
hotel-in-la-tejita,,Other Health impacts
protest-against-high-voltage-transmission-lines-in-bhangar-west-bengal,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
afectados-por-el-nemagon-honduras,,Accidents
afectados-por-el-nemagon-honduras,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
afectados-por-el-nemagon-honduras,,"Mental problems including stress, depression and suicide"
afectados-por-el-nemagon-honduras,,"Violence related health impacts (homicides, rape, etc..) "
afectados-por-el-nemagon-honduras,,Occupational disease and accidents
afectados-por-el-nemagon-honduras,,Infectious diseases
afectados-por-el-nemagon-honduras,,Deaths
afectados-por-el-nemagon-honduras,,Other environmental related diseases
afectados-por-el-nemagon-honduras,,Malnutrition
afectados-por-el-nemagon-honduras,,"Health problems related to alcoholism, prostitution"
b-lead-poisoning-melody-chemical-plant-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
b-lead-poisoning-melody-chemical-plant-china,,Malnutrition
b-lead-poisoning-melody-chemical-plant-china,,Other Health impacts
b-lead-poisoning-melody-chemical-plant-china,,Occupational disease and accidents
alcoa-coal-closes-in-anglesea,,"Mental problems including stress, depression and suicide"
alcoa-coal-closes-in-anglesea,,Other environmental related diseases
conversione-a-carbone-della-centrale-termoelettrica-enel-di-rossano-calabro,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
conversione-a-carbone-della-centrale-termoelettrica-enel-di-rossano-calabro,,Deaths
conversione-a-carbone-della-centrale-termoelettrica-enel-di-rossano-calabro,,Other environmental related diseases
conversione-a-carbone-della-centrale-termoelettrica-enel-di-rossano-calabro,,Other Health impacts
waste-incineration-fuelled-cement-plant-in-montcada-i-reixac-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
agip-facilty-pollutes-kwale-community-ponds-nigeria,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
agip-facilty-pollutes-kwale-community-ponds-nigeria,,Infectious diseases
agip-facilty-pollutes-kwale-community-ponds-nigeria,,Other environmental related diseases
qaysamani-dam-in-hammana,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mineria-de-oro-frisco-de-c-slim-en-tetela-de-ocampo-mexico,,Accidents
mineria-de-oro-frisco-de-c-slim-en-tetela-de-ocampo-mexico,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mineria-de-oro-frisco-de-c-slim-en-tetela-de-ocampo-mexico,,Malnutrition
mineria-de-oro-frisco-de-c-slim-en-tetela-de-ocampo-mexico,,"Mental problems including stress, depression and suicide"
