UID,health_impact,name
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,,Accidents
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,,Other environmental related diseases
exploratory-fracking-at-kirby-misperton-yorkshire,,Accidents
exploratory-fracking-at-kirby-misperton-yorkshire,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
derrame-de-petroleo-en-el-campo-de-frade-brazil,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
derrame-de-petroleo-en-el-campo-de-frade-brazil,,Occupational disease and accidents
derrame-de-petroleo-en-el-campo-de-frade-brazil,,Infectious diseases
derrame-de-petroleo-en-el-campo-de-frade-brazil,,Other environmental related diseases
chemehuevi-indian-tribe-off-roading-damage,,Other Health impacts
clayoquot-sound-canada,,Other Health impacts
clayoquot-sound-canada,,Malnutrition
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,,Infectious diseases
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,,Deaths
nuclear-waste-storage-in-villar-de-canas-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
varun-land-grabbing-madagascar,,Malnutrition
land-grabbing-and-filling-up-of-wetlands,,Malnutrition
land-grabbing-and-filling-up-of-wetlands,,Infectious diseases
luoding-incinerator-guangzhou-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
luoding-incinerator-guangzhou-china,,Other Health impacts
mineria-en-jardin-antioquia-colombia,,Accidents
mineria-en-jardin-antioquia-colombia,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
mineria-en-jardin-antioquia-colombia,,"Health problems related to alcoholism, prostitution"
mineria-en-jardin-antioquia-colombia,,Other environmental related diseases
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,,Malnutrition
exxaro-leeuwpan-mining-project-south-africa,,"Mental problems including stress, depression and suicide"
exxaro-leeuwpan-mining-project-south-africa,,Other Health impacts
exxaro-leeuwpan-mining-project-south-africa,,Occupational disease and accidents
exxaro-leeuwpan-mining-project-south-africa,,Other environmental related diseases
kosova-e-re-lignite-power-plant,,Accidents
kosova-e-re-lignite-power-plant,,Occupational disease and accidents
kosova-e-re-lignite-power-plant,,Other Health impacts
