slug,relevant_government
luoding-incinerator-guangzhou-china,Luoding city government
mineria-en-jardin-antioquia-colombia,"Secretaria de Minas de Antioquia
Corporación Autónoma de Antioquia (Corantioquia)
Agencia Nacional de Minería 
Gobernación de Antioquia                                                                                                             Ministerio de Minas y Energía"
illegal-boreholes-for-strawberry-farming-in-donana,"National Government, regarding the water management / water abstraction control. Regional Government, regarding agricultural and rural development policies to foster irrigation"
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,
exxaro-leeuwpan-mining-project-south-africa,"National Assembly, Democratic Alliance"
kosova-e-re-lignite-power-plant,"Government of Kosovo
Ministry of Energy and Mining Kosovo
Ministry of Economic Development "
coastal-zone-megaprojects-el-salvador,"Ministerio de Medio Ambiente y Recursos Naturales
Ministerio de Turismo, US government"
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,"Goa State Pollution Control Board (GSPCB), Goa State Commission for Protection of Child Rights (GSCPC)"
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,"Consell Valencià, a través de la la Conselleria d´Economia, Industria y  Generalitat Valenciana"
macarthur-metallic-black-sand-mining,"Department of Environment and Natural Resources Mines and Geoscience Bureau (DENR-MGB)
Department of Agriculture
Local Government Units"
russas-valparaiso-redd-projects-acre-brazil,"State Government of Acre
Ministry of Justice and Public Security 
FUNAI"
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Senator Amilcar Romero
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,Government of Ivory Coast
shale-gas-hydraulic-fracturing-ile-anticosti,(Government related unions / parties) : Confédération des Syndicats Nationaux (CSN); Centrale des Syndicats du Québec (CSQ); Centrale des Syndicats Démocratiques (CSD); Québec Solidaire
rubber-tree-plantation-near-de-dja-reserve,"There has been a lack of transparence in the whole process. According to an investigacion led by CIFOR, 20€ of Sudcam’s shares were owned by an unknown “influential member of the Cameroonian political elite.”"
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,"Congress of the Republic, the Ministry of the Interior"
asbestos-in-salonit-anhovo-slovenia,
military-polygon-on-sinjajevina-montenegro,"President of Montenegro, Prime Minister, Minister of Defense and the President of the Parliament of Montenegro"
olkiluoto-nuclear-power-plant-euraaminne-finland,"STUK, Radiation and Nuclear Safety Authority, Ministry of Social Affairs and Health, Advisory Committee on Nuclear Safety"
cellulose-industry-in-gualeguaychu-ur-arg,"Government of Argentina, Government of Uruguay, ICJ - The Netherlands, DINAMA - Uruguay, MVOTMA - Uruguay, Secretary of Environment and Sustainable Development - Argentina"
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,Russian Government                                                                                                                                                                                                                        Administration of Khimki
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,"-Jingxi County Government
-Baise Municipal Government
-Environmental Protection Bureau of Jingxi County
-Environmental Protection Bureau of Baise City
-Ecology and Environment Department of Guangxi Zhuang Autonomous Region
-Ministry of Ecology and Environmental of China(MEE)
-Central Inspectorate of environmental protection"
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,Ministerio de Ambiente
anti-fracking-uprising-in-ain-salah,
complejo-inmobiliario-mitikah-ciudad-viva,"Gobierno de la Ciudad de México
Alcaldía Benito Juárez
Secretaría de Medio Ambiente de la Ciudad de México
Secretaría de Desarrollo Urbano y Vivienda 
Secretaría de Protección Civil
Sistema de Agua de la Ciudad de México
Instituto Nacional de Antropología e Historia
Procuraduría Ambiental y de Ordenamiento Territorial"
cano-limon-oilfield-in-arauquita-arauca-colombia,"National Institute of Renewable Natural Resources and the Environment, National Protection Unit (Unidad Nacional de Protección, UNP), XVIII Brigade of Colombia’s Army, Quirón Task Force, Attorney General’s Office, Minister of the Interior"
represas-del-rio-santa-cruz1,"Gobierno Nacional Argentino
Ministerio Nacional de Energía y Minería
Secretaría Nacional de Ambiente y Desarrollo Sustentable
Gobierno de Santa Cruz 
Gobierno de China"
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,"-Dongyang City Government
-Dongyang Environmental Protection Bureau"
norsudtimber-illegal-in-drc,Agence Francaise de Développement
gold-min,"Ghanaian Government, the Environmental Protection Agency"
presa-de-el-zapotillo-jalisco-mexico,"CONAGUA, CEA, SEMARNAT, Suprema Corte de Justicia Nacional, Gobierno del Estado de Jalisco, Gobierno del Estado de Gunajuato, Municipio de Cañadas de Obregon"
ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,"Brazilian government, FUNAI (governement's indigenous affairs department), Brazil’s Economic and Social Development Bank, BNDES"
jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,"Government of Punjab
Punjab Pollution Control Board (PPCB) "
mutanda-mine-democratic-republic-of-congo,"DRC Government 
Swiss Government"
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,"Luoyang, Boluo county officials, government of Huizhou city"
dugarajapatnam-port-andhra-pradesh-india,"Government of India, Ministry of Shipping, National Green Tribunal, Telegu Desham Party , Communist Party of India , Bharatiya Janata Party "
illegal-stone-quarry-in-andarawewa-forest-reserve,"Agrarian Services and Wildlife Deputy Minister S. M. Chandrasena 
Irrigation and Water Management Deputy Minister W. B. Ekanayake
Mahaweli Authority
Resident Project Manager of system H of Mahaweli
Madyama Nuwara Palatha Pradeshiya Sabha
Central Environmental Authority
Director Environment Conservation Trust"
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,Ministry of Forestry
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,"- Ministry of Ecology and Environment
- Yulin Municipality
- Yulin Municipality Center for Disease Control
- Yuyang District Government
- Uxin Banner Environmental Protection Bureau"
bc-hydro-site-c-dam-canada,"Federal Liberal Government of Canada
Liberal Party of British Columbia
New Democrat Party of British Columbia
BC Utilities Commission (BCUC)
Canadian Environmental Assessment Agency (CEAA)
British Columbia Environmental Assessment Office (EAO)
Joint Review Panel (JRP)"
sponge-iron-factories-in-west-bengal-india,"West Bengal Pollution Control Board, Government of West Bengal"
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,The Ministry of Labour and Social Policy and the Municipality of Center
saemangeun-reclamation-project-south-korea,Government of South Korea
water-privatisation-egypt,"Ministry of Water Supply and Sanitation Facilities, Ministry of Water Resources and Irrigation, Ministry of Health and Population, Egyptian Environmental Affairs Agency, Egyptian Water Regulatory Agency "
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,"National Center for Prevention and Control of Forest Fires (Prevfogo)
Brazilian Institute of Environment and Renewable Natural Resources (Ibama)
National Indian Foundation (Funai)
Brazilian Army
Brazilian government and regional government"
wanning-waste-to-energy-plant-hainan-china,-Wanning City Government
paks-nuclear-plant-expansion-hungary,
public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,"- Environmental Protection Bureau of Changzhi City
- Lucheng division of the Ecological and Environmental Bureau of Changzhi City
- Environmental Protection Bureau of Shanxi Province
- Environmental Protection Inspection Center of North China (华北环保督察中心, which later became North China Inspection Bureau of Ministry of Ecology and Environment or 生态环境部华北督查局)
- Ministry of Environmental Protection (which later became Ministry of Ecology and Environment)
- Intermediate People’s Court of Changzhi City
- Higher People’s Court of Shanxi Province"
