slug,relevant_government
huanuni-bolivia,Gobierno Nacional de Bolivia
ywathit-karenni-state-myanmar,"Ministry of Electric Power, Myanmar
Department of Hydro Power Implementation
Myanmar Investment Commission (MIC)
and others"
industrial-tree-plantation-fast-growing-eucalyptus-in-huangmian-liuzhou-guangxi-china,"-Huangmian Township Government
-Huangmian Forest Station
-Huangmian Local Police Station
-Luzhai Forest Police
-Guangxi Forest Police
-Luzhai County government
-Luzhai Letters and Petitions Bureau
-Luzhai Environmental Protection Bureau
-Luzhai Forestry Bureau
-People's Procuratorate of Luzhai County"
the-roma-community-living-in-the-asnom-military-barracks-in-kochani-live-in-substandard-living-conditions,
sugarcane-cultivation-and-oil-palm-plantation-in-polochic-valley-guatemala,"Government of Guatemala, Secretaría de Asuntos Agrarios (SAA), Ministerio de Agricultura y Ganadería (MAGA), Secretaría por la Seguridad Alimentaria (SESAM), Alcaldías municipales, Ministerio Público (MP), Cámara del Agro, Comité Coordinador de Asociaciones Agrícolas, Comerciales, Industriales y Financieras (CACIF), Registro de Información Catastral (RIC), Comisión Presidencial para los Derechos Humanos (COPREDEH), Sistema Nacional de Diálogo, Corte Suprema de Justicia, Congreso de la República"
boeung-kak-lake-evictions-phnom-penh,"Lao Meng Khin, (Cambodian People’s Party)"
kavuthi-vediyappan-hills-tamil-nadu-india,Dravida Munnetra Kazhagam (the then Leader of opposition in the Tamil Nadu state Government)
air-pollution-at-qilu-pharmaceutical-companystudent-and-parent-protests-in-licheng-no-2,-Jinan Municipal Government
upper-yeywa-dam-on-the-namtu-river-shan-state-myanmar,"Burma’s military regime, the State Peace and Development Council (SPDC)
Khin Maung Soe, Minister for Electric Power"
bomuruella-mini-hydro-power-plant,"Forest Department
Central Environmental Authority"
bantar-gebang-jakarta-landfill-indonesia,"Administration of Jakarta
Administration of Bekasi
Ministry of Energy"
mina-sierra-grande-rio-negro-argentina,"Legisladores provinciales
Municipio de Sierra Grande
Departamento de Aguas de la provincia de Río Negro"
hidroelectrica-maqueo-chile,
gas-fracking-en-huautla-hidalgo-mexico,Procuraduría Federal de Protección al Ambiente (Profepa)
polluted-rhone-france,
fundacion-para-el-desarrollo-integral-apaxtle-ac-y-prosalud-apaxco-atotonilco-contra-planta-ecoltec-de-cementera-holcim-2009-apaxco-edomex-y-atotonilco-de-tula-hidalgo,"PROFEPA. Secretario de Salud a nivel federal (México, 2009): José Ángel Córdova Villalobos.
Secretario de Medio Ambiente y Recursos Naturales SEMARNAT a nivel federal (México, 2009): Juan Rafael Elvira Quesada.
Presidente Nacional de México en 2009: Felipe Calderón Hinojosa.
Los nombres de los presidentes municipales y gobernadores pueden variar dependiendo de las elecciones y cambios políticos ocurridos en ese año en particular, así como la estructura administrativa específica de cada estado o municipio."
polepally-special-economic-zone-telangana-india,Government of Andhra Pradesh
shell-refuses-to-clean-up-spill-at-ikata-community-nigeria,Nigerian National Petroleum Corporation.
paramo-de-guacheneque-colombia,"Presidencia de La Republica, Ministerio de Interior, Ministerio de Ambiente y Desarrollo Sostenible, Parques Nacionales Naturales de Colombia, Gobernacion de Boyacá, Alcaldia de Nuevo Colón, Villapinzón, Turmequé, Ventaquemada y Chocontá, Corporación Autónoma Regional de Chivor - Corpochivor, Corporación Autónoma Regional de Boyacá - Corpoboyacá, Defensoria del Pueblo"
vratsa-landfill-fire-bulgaria,"Ministry of Environment and Water, RIEW"
apeco-special-economic-zone-on-ancestral-lands-and-fishing-grounds-aurora-island-philippines,"APECO was created by Senator Edgardo Angara; his son congressman and later on senator Sonny Angara; and his sister congresswoman, later on governor, Bellaflor Angara [2]."
new-aviation-fuel-delivery-system-to-serve-vancouver-airport,"Government of British Columbia
City of Burnaby
City of Richmond"
chinchaycocha-junin-peru,"Comision Ambiental Regional Andina Central , Plan y Sistema de Gestion Ambiental Chinchaycocha, Municipalidad de Junin, MINAM"
interconexion-electrica-en-el-corredor-seco-guatemala,"Registro de Información Catastral (RIC)
Gobierno municipal"
dirty-and-dangerous-shipbreaking-in-chittagong,"Ministry of Industries, Ministry of Environment and Forest, Ministry of Health and Family Welfare, Ministry of Labour and Employment (Department of Inspection for Factories and Establishments), Chittagong Port Authority"
water-disparities-in-texas-colonias-usa,"The Colonia Initiatives Program Office of the Texas Secretary of State; Texas Commission on Environmental Quality; Texas Health and Human Services Commission; Regional Councils of Governments; Environmental Protection Agency; United States Department of Agriculture-Rural Development; Texas Cooperative Extension Service; Border Environment Cooperation Commission, a binational agency charged with improving environmental conditions along the U.S.-Mexico border"
represa-milpillas-zacatecas-mexico,"Secretaría del Agua y Medio Ambiente (SAMA) 
Comisión Nacional del Agua (CONAGUA)
Secretaría de Medio Ambiente y Recursos Naturales (Semarnat), Secretaría de Desarrollo Social, Territorial y Urbano (Sedatu) 
Secreataría de Infraestructura (Sinfra)
Consejo Nacional del Medio Ambiente (Conam)."
emprendimientos-urbanos-colony-park-arroyo-anguila-la-paloma-argentina,"Municipalidad de Tigre
Organismo Provincial de Desarrollo Sustentable (OPDS), Provincia de Buenos Aires.
Secretaría Provincial de Obras Hidráulicas"
abant-lake-nature-park-turkey,"Bolu Provincial Government, Special Provincial Administration, Ministry of Environment and Urbanisation."
markala-sugar-project-sosumar-illovo-sugar-refinery-in-cercle-de-segou-mali,"Malian government, Office du Niger "
achuar-and-shuar-against-oil-extraction-ecuador,Ministry of Energy and Mines 
serrania-de-san-lucas-gold-mining-colombia,"Ministerio de Ambiente y Desarrollo Sostenible, Ministerio de Minas y Energia, Senado de la Republica, Procuraduria General de la Nacion, Contraloria General de la Republica, Instituto Colombiano de Geologia y Mineria , Ejercito Nacional de Colombia, Corporacion Autonoma Regional del Sur de Bolivar "
bikita,"Former ZANU-PF Minister of Energy and Power Devlopment D. Mavhaire
Concillors representing Bikita district, Minister of State for Masvingo Provincial Affairs Cde Mahofa, Bikita West member of National Assembly Cde Chabaya
Ministry of Mines, Minerals Marketing Corporation of Zimbabwe  (Mining authorities)"
the-soulaliyyate-movement-morocco,"Ministry of Interior (Department of Rural Affairs)
Advisory Council for Human Rights
The Ministry of Economic Development, Family, and Solidarity"
corumba-indigenous-communities-and-mining-brazil,"Instituto Brasileiro de Meio Ambiente e Recursos Naturais Renovaveis - IBAMA, Polícia Federal , Ministerio Publico do Trabalho , Departamento Nacional de Producao Mineral"
el-escobal,"Gobierno de Guatemala incluyendo el Ministerio de Ambiente y Recursos Naturales (MARN), Municipalidad de San Rafael Las Flores, Policía Nacional Civil, Ministerio de Energía y Minas (MEM),"
water-privatisation-guayaquil-ecuador,"INEM;, MIDUVI;, Municipality of Guayaquil;, Defensoria del Pueblo de Ecuador;, CCCC"
mbeubeuss-landfill-senegal,"Communauté Urbaine de Dakar (Dakar Urban Community)
Unité de coordination de la gestion des dechets
Government of Senegal"
vall-fosca-complex,"Regional Government: Generalitat de Catalunya.
Local Government: Ajuntament de la Torre de Cabdella.
Province Authority: Diputacio de Lleida."
dannenrod-forest-occupation-against-highway-construction,"Federal Ministry of Transport and Digital Infrastructure – Currently under control of Andreas Scheuer of the Christian Social Union in Bavaria (CSU), in the cabinet of Angela Merkel’s (CDU) coalition with the Social Democrats (SPD). 

Hessian state government -  Christian Democratic Union (CDU) and the Green Party, led by Minister-President Volker Bouffier."
jim-corbett-national-park,"Uttarakhand Forest Department 
National Tiger Conservation Authority (NTCA)"
fisherfolk-against-fake-new-islands-in-jakarta-bay-indonesia,"Jakarta City Councilor
State Administrative High Court (PTUN)
Forestry Minister
Governor of Jakarta
Maritime Affairs and Fisheries Ministry"
gbaraun-community-and-agip-nigeria,Nigerian National Petroleum Corporation. 
industrial-zoning-in-austin,"City of Austin, the Texas Commission on Environmental Quality (TCEQ)"
the-struggle-for-land-in-the-new-clark-city-project-in-tarlac,"Clark Development Corporation (CDC)
Department of Public Works and Highways
Department of Transportation"
pcbs-in-new-bedford-harbor-massachusetts,"Environmental Protection Agency (EPA), Massachusetts Department of Public Health"
la-vega-i-ii-hydroelectric-projects-nebaj-guatemala,"Corte de Constitucionalidad
Corte Suprema de Justicia
Ministerio de Energía y Minas"
nashua-river-pollution-usa,New Hampshire and Massachusetts Governments
illegal-dumping-of-toxic-waste-in-the-kim-kim-river-pasir-gudang-malaysia,"Ministry of Education; Department of Environment; Ministry of Environment, Science, Technology and Climate Change, Pasir Gudang Municipal Council; Malaysian Ministry of Health; Johor Department of Environment (DOE);"
sao-luiz-do-tapajos-hydroelectric-dam-brazil,"Brazilian Ministry of the Environment
IBAMA"
harmful-wastes-threaten-residents-of-akpayak-community,"Ministry of Environment
Waste Management Board
Akwa Ibom State Government
"
roma-blamed-for-water-misuse-the-city-council-disconnects-water-supply-in-hetes-and-kiserdo-telep-ozd-hungary,"The mayor and city council of Ózd in 2013 and later years.
Swiss-Hungarian Cooperation Program."
inti-raymi-contamina-rio-desaguadero-oruro-bolivia,PCA Ingenieros Consultores S.A.
drying-out-of-burdur-lake-turkey,"Burdur Governorship, Burdur Municipality, Burdur Provincial Forestry and Water Affairs Directorate, Burdur General Directorate of Food, Agriculture and Animal Husbandry, Ministry of Forestry and Water Works: related with the construction of dams and dam lakes "
kishanganga-hydro-electric-power-project-khep-india,"Government of India, Government of Pakistan "
rajaji-national-park,"Uttarakhand Forest Department 
National Tiger Conservation Authority (NTCA)"
horsh-beirut,"- The municipality of Beirut
- The governor of Beirut
- The ministry of interior
- The ministry of Environment
- The ministry of public health
- The Egyptian embassy in Lebanon
- Egyptian Government"
project-fortress-mega-solar-plant-kent-uk,"- Secretary of State for Business, Energy and Industrial Strategy
- Faversham MP, Helen Whately"
represa-del-bajo-anchicaya,"Corporación autónoma del Valle
Ministerio de Ambiente y Desarrollo Sostenible
Ministerio de Minas y Energía
Ministerio del Interior
Corte Contitucional
Defensoría del Pueblo
Gobernación del Valle del Cauca"
romaine-complex,"Gouvernement du Quebec, le Bureau d’Audience Publique sur l’Environnement, Innu of Ekuanitshit, Nishipiminan Corporation, Innu Takuaikan Council, Council of the Innu of Ekuanitshit."
dam-on-ainu-homeland,"Bureau of Hokkaido (Regional) Development, Ministry of Land, Infrastructure, Transport and Tourism; Hokkaido Expropriation Committee; Japan Minister of Justice"
veladero-san-juan-argentina,"Gobierno de San Juan
Secretaría de Ambiente de la Nación
Poder Judicial de la provincia de San Juan
Justicia Federal
Corte Suprema de Justicia de la Nación
IANIGLA (Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales)"
deviation-of-the-sao-francisco-river-brazil,"The Brazilian government, Ministry of Environment - Brazil, Ministry of National Integration - Brazil, Ministry of Mines and Energy - Brazil, ANA - Brazil, CODEVASF - Brazil, Legislative Assembly of the Bahia State - Brazil, Parliamentary Front in Defense of Indigenous Peoples - Brazil"
health-impact-of-substandard-living-conditions-on-roma-in-a-settlement-separated-by-wall-sliven-bulgaria,"The Ministry for health; the Ministry for regional development; Regional authorities (prefect); local authorities; Regional health inspectorate, Bulgarian food safety agency"
proyecto-la-ensenada-en-holbox-mexico,"Joaquín Hendricks Díaz
Félix González Canto
Ministerio de Desarrollo Urbano y Medio Ambiente
Secretaría de Medio Ambiente y Recursos Naturales (Semarnat)"
proyecto-la-vega-mocoa-colombia,"Presidency of the Republic, Ministry of the Interior, Ministry of Environment and Sustainable Development, Ministry of Mines and Energy, Colombian Institute of Mining and Geology, National Army of Colombia, Government of Cauca and Putumayo"
rio-colorado-potasio-mendoza-argentina,"Gobierno de la provincia de Mendoza.
Consejo Provincial del Ambiente.
Secretaría de Ambiente.
Dirección provincial de Protección ambiental.
Dirección de Minería de la provincia de Mendoza.
Comisión Evaluadora Interdisciplinaria Ambiental Minera (CEIAM)
Municipio de Malargue.
Gobiernos de las provincias de Neuquén, Río Negro, La Pampa y Buenos Aires.
Defensoría del pueblo de la Nación."
plans-for-a-waste-to-energy-incineration-plant-by-veolia-in-mexico-city-resisted-by-wastepickers,Government of Mexico City
amravati-thermal-power-project-maharashtra-india,"Government of India,  Ministry of Environment and Forest (Government of India), Government of Maharashtra, South Eastern Coalfields Ltd. (SECL), Western Coalfields Ltd. (WCL), Mahanadi Coalfields Ltd. (MCL), Vidharbha Irrigation Development Corporation (VIDC)
"
diamer-bhasha-dam-pakistan,"Ministry of Water & Power of Pakistan, Water and Power Development Authority [WAPDA]"
coal-fired-power-plants-in-chicago-usa,Environmental Protection Agency
ward-valley-nuclear-dump-in-california-mojave-desert-usa,"U.S Ecology, California Department of Health Services, Bureau of Land Management , Department of Interior"
isahaya-bay-nagasaki-prefecture-construction-of-the-dyke-japan,"Government of Japan
Ministry of Agriculture, Forestry and Fishery
Nagasaki prefecture
Fukuoka high court
Nagasaki district court"
la-colosa-colombia,"Ministerio de Ambiente y Desarrollo Sostenible, Ministerio de Minas y Energia, Senado de la Republica, Procuraduria General de la Nacion, Contraloria General de la Republica, Instituto Colombiano de Geologia y Mineria , Corporacion Autonoma Regional del Tolima , Diputados britanicos"
bp-exploration-company-colombia,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,"Centro Mineiro de Conservacao da Natureza, Agencia Brasileira de Inteligencia - ABIN, Departamento Nacional de Producao Mineral - DNPM, Companhia de Pesquisa e Recursos Minerais - CPRM, Instituto Nacional de Meio Ambiente e Recursos Naturais Renovaveis - IBAMA, Ministerio de Minas e Energia - MME, Ministerio Publico Federal - MPF, Policia Federal - PF, Comissao Parlamentar de Direitos Humanos da Camara dos Deputados - CPDH/CD"
pangkalan-susu-coal-fired-power-plant-north-sumatra-indonesia,"- Government of Indonesia (both generally, and more specifically the Ministry of Energy and Mineral Resources and the Ministry of Finance)
- Langkat Regency Government
- North Sumatra Provincial Government"
chikweti-plantations-mozambique,"Provincial Government of Niassa and Fundação Malonda, a state agency to promote development of the private sector in Niassa province"
total-sas-anzarane-offshore-western-sahara-oil-exploitation,"The French government
Moroccan government
American government
Algerian government"
dosab-lignite-fired-power-plant-turkey,"Ministry of Environment and Urbanisation, 
Ministry of Energy and Natural Resources"
construction-of-the-baltic-nuclear-power-plant,
stop-de-kindermoord-stop-the-child-murder-protest-for-children-deaths-caused-by-motor-vehicles,"Dutch government
Prime minister of Netherlands: Joop den Uyl (973-1977)
Dutch Ministry of Transport
Provinces and municipalities
Safe Traffic Nederland"
bui-dam-ghana,
iamgold-in-quimsacocha-ecuador,"Ministry of Non-Renewable Natural Resources, Ministry of Environment, Secretara Nacional del Agua-SENAGUA , Secretara de Planificacin y Desarrollo-SENPLADES.

Prefecto de Azuay (Yaku Pérez)."
hidrovia-amazonica,Proinversión
punta-alcalde-power-plant-huasco-chile,"Corte Suprema, Comisión de Evaluación Ambiental Regional de Atacama"
amianto-mining-in-minacu-goias,Tribunal Superior Federal ;Instituto Brasileiro da Crisotila;Ministério das Minas e Energia (MME);  Ministério da Saúde (MS);
hidro-santa-rita-monte-olivo-guatemala,"Gobierno de Guatemala, La Policía Nacional Civil (PNC) , Alcaldía de Alta Verapaz,"
ken-betwa,Environment Water Agency Development (Government of India)
almstriden-stockholm-sweden,"Stockholm Stads Byggnadskontor, Stockholm Stads Gatukontor"
contaminacion-del-rio-tula,"-Gobierno de la Ciudad de México.
-Gobierno del Estado de Hidalgo.  
-Comisión Nacional del Agua (Conagua)
-Secretaría de Marina (SEMAR) 
-Presidencia municipal de Tula de Allende.
-Secretaría de Medio Ambiente y Recursos Naturales (Semarnat) [29]."
fessenheim-france,"Ministry for Ecological Transition (Nicole Hulot), France"
coal-mining-operation-without-permit-at-dananhu-hami-led-to-public-interest-litigation-in-xinjiang-china,"- Ministry of Ecology and Environmental Protection (formerly known as the Ministry of Environmental Protection)
- National Development and Reform Commission (NDRC)
- Housing and Urban-Rural Development Department of Xinjiang Uygur Autonomous Region (新疆维吾尔自治区住房和城乡建设厅) 
- Ministry of Land and Resources (国土资源部)
- National Mine Safety Administration (国家矿山安全监察局)
- Ecology and Environment Bureau (formerly known as the Environmental Protection Bureau) of the Xinjiang Uygur Autonomous Region"
waste-pickers-in-cape-coast-ghana-face-repressive-treatment-and-unsafe-working-conditions,Cape Coast Metropolitan Assembly
salbufera-des-grau-menorca-spain,"Parliament of the Balearic Islands
Consell Insular de Menorca
Reserva de Biosfera, Menorca"
iron-ore-mining-in-caetite-ba-brazil,"Ministry of Transport
Federal Government
VALEC/Ministry of Transports
Bahia State Goverment
Terceira Câmara Cível do TJ/BA
Instituto do Meio Ambiente e Recursos Hídricos (INEMA).
Prosecutor Office in Bahia (Ministerio Publico da Bahia)"
daewoo-maize-and-biofuel-project-madagascar,"President Marc Ravalomanana, ousted by coup., Andry Rajoelina, new president, previous major of Antananarivo."
baguazo,"Presidencia de Perú
Gobierno de Perú
Policía Nacional de Perú
Congreso de la República"
joinkrama-oil-spill-jk-4-nigeria,"Bayelsa State Ministry of Environment, National Oil Spill Detection & Response Agency"
rosebank-oilfield-sheltland-scotland,"Conservative Government, UK 
Department of Energy and Climate Change, UK Government"
daya-bay-nuclear-power-plant-guangdong-china,"-The Central Government of China
-Guangdong Provincial Government
-the Hong Kong Government
-中华人民共和国水利电力部 （中华人民共和国曾经设立的一个部级单位，后被撤销。它曾是中华人民共和国国务院下设的统筹规划管理全国水利电力工作的政府职能部门，国务院的组成机构之一。https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E6%B0%B4%E5%88%A9%E7%94%B5%E5%8A%9B%E9%83%A8）"
al-tamimi-khaled-attempts-crop-farming-in-dosso-niger,"Mr. Abdul Karim Mamalo, Permanent Secretary of the Ministry of Rural Code of Niger Agricultural Development, the Secretary of State of Niger"
mining-in-macizo-colombiano-colombia,"Gobernación del Departamento del Cauca, Alcaldía de La Vega y La Sierra, Instituto Colombiano de Mineria y Geologia , Ministerio de Ambiente y Desarrollo Sostenible, Ejercito Nacional, Corporacion Autonoma Regional del Cauca"
dump-site-in-sulaymaniyah-kurdistan-region-of-iraq,"Kurdistan Regional Government (KRG) 
Sulaymaniyah Governorate
Municipality of Sulaymaniyah"
ofunato-port-biomass-coal-fired-power-plant,Government of Japan
comunidad-indigenatres-islas-y-mineria-ilegal-en-madre-de-dios,"Ministerio de Energia y Minas
Defensoria del Pueblo"
minera-macocozac-concepcion-del-oro-zacatecas-mexico,Procuraduría Federal de Protección al Ambiente (PROFEPA)
neltume-hydroelectric-project-in-panguipulli-chile,COREMA
beach-minerals-sand-mining-in-tamil-nadu-india,"National Green Tribunal
Government of Tamil Nadu
Ministry of Environment, Forest and Climate Change"
thepa-coal-power-plant,Government of Thailand (civilian and military)
rampal-thermal-power-plant-rampal-bangladesh,"Government of India
Government of Bangladesh"
phosphate-mines-togo,
fisherwomens-mobilization-against-the-port-city-sri-lanka,"The Government of Sri Lanka,
Sri Lanka Ports Authority (SLPA)"
the-orano-malvesi-plant,"Subdivision Aude de la Dreal (direction régionale de l’environnement, de l’aménagement et du logement).
Carole Delga, présidente de la région Occitanie. 
Le président du Grand Narbonne, Jacques Bascou. 
Maire de Narbonne, Didier Mouly."
koel-karo-project-india,National Hydroelectric Power Corporation
cofco-joycome-pig-farms-in-chifeng-city-china,"-People's Government of Ongniud Banner
-Environmental Protection Bureau of Ongniud Banner"
parque-eolico-en-kimbila-yucatan,"Secretaría de Energía (SENER)
Comisión Reguladora de Energía (CRE)
Comisión Federal de Electricidad (CFE)
Procuraduría Agraria (PA)
Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI)
Comisario Ejidal de Kimbilá"
pirin-national-park-illegal-ski-resort-bulgaria,"Ministery of Environment, Pirin National Park, Municipality of Bansko"
anti-privatization-and-remunicipalisation-struggle-in-lagos-nigeria,"Lagos State Water Regulatory Commission (LSWRC)
Lagos State Government"
batang-coal-mining-central-java-indonesia,
mercury-poisoning-niigata-minamata,"Ministry of Health and Welfare
Minister of International Trade and Industry (MITI)"
tiger-leaping-gorge-dam,"SEPA (Environmental Protection Agency)
NDRC, National Development and Reform Commission"
deforestation-in-para-and-the-death-of-dorothy-stang,"INCRA (land reform institute)
Courts of Justice
IBAMA"
ejido-el-bajio,"Cámara de Senadores, ex gobernadora de Sonora Claudia Pavlovich, policías estatales, Guardia Nacional."
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,"Municipalities (L' Argentera, Riudecols, Botarell, Duesaigües, Vilanova dEscornalbou, etc.), Government of Catalonia, Catalan Environmental Agency, Catalan Government, Regional Government."
wachtelkoenig-crex-crex-against-the-ennstalertrasse-austria,"Constitutional office of the provincial government of Styria
Nature conservation authority of the provincial goverment of Styria
Former minister of traffic and economic affairs, Wolfgang Schüssel
Former minister of infrastructure Michael Schmid
and others"
lesotho-highlands-water-project-lesotho,"Lesotho Government, Botswana and South Africa governments, Lesotho Highlands Development Authority (LHDA),
Lesotho Highlands Water Commission (LHWC)"
dawang-coffee-plantation-on-indigenous-territory-in-south-cotabato-mindanao-philippines,"Department of Environment and Natural Resources (DENR), Ministry of Environment, the Quezon City Regional Trial Court, the Philippines National Commission on Indigenous Peoples"
cluster-of-gas-fired-power-plants-in-brandywine-maryland-usa,"Panda Power Funds, PSEG Keys Energy Center LLC, NRG Energy, Competitive Power Ventures, U.S. Environmental Protection Agency,  and Prince George's County State of Maryland"
megarepresas-sobre-el-maranon-chadin-2-y-rio-grande-1-y-2,"Ministerio de Energia y Minas, Ministerio del Ambiente, Gobierno Regional de Cajamarca, Gobierno Regional de Amazonas, Gobierno Regional de La Libertad"
plantations-of-sugarcane-in-the-rural-settlements-of-lomitas-colombia,"The Victims Unit, The Land Restitution Unit and The Regional Autonomous Corporation of Cauca (CRC)."
adloun-port,"Ministry of Environment
Ministry of Culture
Ministry of Public Works and Transport
Governor of South Lebanon"
dimna-reservoir-jamshedpur-jharkhand-india,"Government of India, Subarnarekha Multipurpose Project"
dayuma-oil-extraction-ecuador,"Ecuadorian government, The President of the province of Orellana, Justice and Human Rights Ministry"
rupert-gas-transmission-pipeline-prohibition,Canadian government; British Columbia provincial government; Gitxsan authorities; Gitxsan Treaty Society; Tsimshian First Nation; B.C. Treaty Commission and Crowns
water-crisis-in-flint-michigan,"Detroit Water and Sewerage Department (DWSD), Michigan Department of Environmental Quality,Department of Environmental Quality and the Department of Health and Human Services,"
los-pescadores-resisten-contra-la-contaminacion-de-la-presa-el-colmedero,"Secretaría de Medio Ambiente y Recursos Naturales; 
Senado de la Republica; 
Secretaría de Agricultura, Ganadería, Pesca y Alimentación;
La Secretaría del Medio Ambiente y Recursos Naturales (Semarnat), 
La Comisión Nacional del Agua (Conagua);
La Procuraduría Federal de Protección al Ambiente (Profepa)"
los-bosques-de-san-ignacio,"Municipalidad de San Ignacio
Policía nacional de Perú
Poder Judicial, Chiclayo"
explotacion-de-niobio-en-los-municipios-de-catalao-y-ouvidor-goias,"Uniao Federal

Secretaria Estadual do Meio Ambiente e Desenvolvimento Sustentável de Goiás

Agência Nacional de Mineração (ANM)

Secretaria de Geologia, Mineração e Transformação Mineral (SGM)"
asbestos-legacy-south-africa,"Department of Mineral Resources, Department of Environmental Affairs, Department of Health"
illegal-logging-and-displacement-of-landless-peasants-in-colniza-mato-grosso-brazil,"Secretaria de Estado de Segurança Pública (Sesp-MT) 
Instituto Terras de Mato Grosso
IBAMA
INCRA
Public Ministry
Agrarian Court of Cuiabá"
torching-of-olive-trees-palestine,"Palestinian Authority
Coordinator of Government Activities in the Territories - Israeli Governing Body"
hundreds-of-roma-people-in-romania-forced-to-live-in-a-former-chemical-factory,"Romanian government.
The Mayor of Baia Mare (since 2011 until today 2019)."
green-isan-khor-jor-kor-projects-and-other-state-plantations-thailand,"Royal Forest Department
Army"
nuclear-waste-storage-near-the-spanish-frontier-of-portugal,"Empresa Nacional de Resíduos Radioativos; 
Ministério do Ambiente; 
Ministério dos Negócios Estrangeiros;
Ministério de Indústria e Energia"
rice-cultivation-and-processing-by-agrogeba-guinea-bissau,Guinea Bissau Government
gran-canal-nicaraguas-project,"Governmet of Nicaragua, Authority of the Interoceanic Grand Canal, Supreme Justice Court"
eucalyptus-plantation-in-soriano-department-uruguay,"Local government, Ministry of Environment, OSE - Obras Sanitarias del Estado "
black-powder,Assembleia Legislativa do Espírito Santo (Ales); Instituto Estadual de Meio Ambiente (LEMA); Instituto Estadual de Meio Ambiente e Recursos Hídricos (IEMA);
disaster-of-seveso,"Department of Health of the Lombardy Region, the Province of Milan, the municipalities of Seveso, Meda, Desio and Cesano Maderno, prosecutor of Monza, Monza Court, the Court of Milan, the Milan Court of Appeal, Supreme Court of Rome."
laos-china-railway,"Lao Ministry of Public Works and Transport, Lao Ministry of Labor and Social Welfare, Laos-China Railway Construction Project Management Committee,"
jacksons-airport-evictions-from-land-claimed-by-national-airports-corporation,"National Capital District Commission
Civil Aviation Authority
Department of Lands and Physical Planning
Moresby North East District
Government of Papua New Guinea
National Mapping Bureau
Waigani National Court
National Intelligence Office"
tanintharyi-national-park-proposed-threatens-indigenous-communities-myanmar,"Nature, Wildlife and Conservation Division (NWCD), which is a division of the Forest department. The forest department is part of the Ministry of Natural Resources and Environmental Conservation (MONREC)
and others"
riconversione-a-biomasse-della-centrale-termoelettrica-enel,Consejo de Estado; Tar Calabria; Regiones Calabria y basilicata; Provincias de Potenza y Cosenza; Municipios del valle de Mercure (Rotonda y Viggianello); Autoridad del Parque Nacional Pollino.
telkwa-coal-mine-british-columbia,"BC Provincial Government
Ministry of Energy and Mines
Ministry of Environment
BC Environmental Office
Office of Wet'suwet'en
Mayor of Telkwa"
wastepickers-in-maputo-mozambique-protest-overcrowded-and-deadly-conditions-and-delayed-relocation-from-the-hulene-dump-site,"Celso Correia - Mozambican Minister of Land, Environment and Rural Development
Calisto Cossa - Former mayor of Matola
Eneas Comiche - Current mayor of Matola
Yoshiaki Harada - Environmental Minister of Japan"
north-river-sewage-treatment-plant,"New York City Department of Environmental Protection (DEP), U.S. Environmental Protection Agency (EPA)"
murders-of-uman-leaders-over-mining-logging-and-plantations-near-butuan-city-agusan-del-norte-caraga,"Department of Environment and Natural Resources, Mines and Geo-Sciences Bureau (MGB), National Economic Development Authority, National Commission of Indigenous Peoples, Department of Interior and Local Government, Army, police, Criminal Investigation and Detection Group"
northern-access-pipeline,"The government actors relevant to NAPL are multitudinous on the local, state, and federal level. The federal government actors are as follows: Federal Energy Regulatory Commission (FERC), United States Department of Energy (DOE), United State Fish and Wildlife Service (USFWS), United States National Park Service (NPS), United States Army Corps of Engineers (USACE), United States Department of Transportation (DOT), Federal Motor Carrier Safety Administration (FMCSA), and the United States Securities and Exchange Commission (SEC). New York State and local government actors include: the New York State Public Service Commission (NYSPSC), New York State Department of Environmental Conservation (NYSDEC), New York Natural Heritage Program, New York State Office of Parks, Recreation and Historic Preservation, and the New York State Department of Agriculture and Markets (NYDAM). Pennsylvania State government and local actors include: the Pennsylvania Department of Environmental Protection (PADEP), Pennsylvania Department of Conservation and Natural Resources, Pennsylvania Fish and Boat Commission, Pennsylvania Game Commission, Pennsylvania Historical and Museum Commission, Bureau for Historic Preservation, State Historic Preservation Office, and the McKean County Conservation District. Lastly, the sovereign nation of the Seneca Nation of Indians (SNI) is another relevant government actor in the conflict."
mineria-ilegal-santander-de-quilichao-colombia,"Gobernación del Departamento del Cauca, Alcaldía de Santander de Quilichao y de Caldono, Instituto Colombiano de Mineria y Geologia , Ministerio de Ambiente y Desarrollo Sostenible, Ministerio de Interior, Corte Constitucional de Colombia, Policia Nacional, Ejercito Nacional, Corporacion Autonoma Regional del Cauca"
termoelectricas-de-ibedrola-en-tamazunchale-san-luis-potosi-mexico,"Comisión Reguladora de Energía (CRE) 
Comisión Federal de Electricidad (CFE)
Secretaría de Energía (SENER)
Secretaría de Medioambiente y Recursos Naturales (SEMARNAT)"
dadri-power-project-up-india,"Government of Uttar Pradesh, Allahabad High Court"
